time,pos,ltime,hast,atime,acc,time2,pos2,ltime2,hast2,atime2,acc2
0.21,0.02,0.24,0.25,0.27,2.22,0.29,0.02,0.32,0.25,0.35,2.77
0.27,0.03,0.29,0.36,0.31,2.20,0.35,0.03,0.37,0.39,0.39,2.74
0.31,0.05,0.33,0.44,0.35,2.20,0.39,0.05,0.41,0.48,0.42,2.75
0.35,0.06,0.36,0.51,0.38,2.21,0.42,0.06,0.44,0.56,0.45,2.75
0.38,0.08,0.39,0.58,0.40,2.23,0.45,0.08,0.46,0.63,0.47,2.76
0.40,0.09,0.41,0.63,0.43,2.20,0.47,0.09,0.48,0.69,0.49,2.75
0.43,0.11,0.44,0.68,0.45,2.29,0.49,0.11,0.51,0.75,0.52,2.82
0.45,0.12,0.46,0.73,0.47,2.20,0.52,0.12,0.52,0.81,0.53,2.72
0.47,0.14,0.48,0.77,0.49,2.37,0.53,0.14,0.54,0.85,0.55,2.96
0.49,0.15,0.50,0.82,0.51,2.17,0.55,0.15,0.56,0.90,0.57,2.69
0.51,0.16,0.52,0.86,0.52,2.18,0.57,0.16,0.58,0.95,0.58,2.74
0.53,0.18,0.53,0.89,0.54,2.15,0.58,0.18,0.59,0.99,0.60,2.66
0.54,0.20,0.55,0.93,0.56,2.17,0.60,0.20,0.61,1.03,0.61,2.67
0.56,0.21,0.56,0.96,0.57,2.21,0.61,0.21,0.62,1.07,0.63,2.78
0.57,0.22,0.58,1.00,0.59,2.24,0.63,0.22,0.63,1.11,0.64,2.75
0.59,0.24,0.59,1.03,0.60,2.15,0.64,0.24,0.65,1.14,0.65,2.64
0.60,0.26,0.61,1.06,0.62,2.34,0.65,0.26,0.66,1.18,0.67,2.92
0.62,0.27,0.62,1.09,0.63,2.17,0.67,0.27,0.67,1.21,0.68,2.64
0.63,0.29,0.64,1.12,0.64,2.48,0.68,0.29,0.69,1.25,0.69,3.23
0.64,0.30,0.65,1.16,0.66,2.17,0.69,0.30,0.70,1.28,0.70,2.46
0.66,0.32,0.66,1.18,0.67,2.14,0.70,0.32,0.71,1.31,0.71,2.77
0.67,0.33,0.68,1.21,0.68,2.18,0.71,0.33,0.72,1.34,0.72,2.63
0.68,0.35,0.69,1.24,0.69,2.01,0.72,0.35,0.73,1.37,0.74,2.56
0.69,0.36,0.70,1.26,0.71,2.31,0.74,0.36,0.74,1.40,0.75,2.84
0.71,0.37,0.71,1.29,0.72,2.19,0.75,0.37,0.75,1.43,0.76,2.72
0.72,0.39,0.72,1.31,0.73,2.13,0.76,0.39,0.76,1.46,0.77,2.53
0.73,0.40,0.73,1.34,0.74,2.43,0.77,0.40,0.77,1.49,0.78,3.08
0.74,0.42,0.75,1.37,,,0.78,0.42,0.78,1.52,0.79,2.57
0.75,0.44,,,,,0.79,0.44,0.79,1.54,0.80,3.22
0.76,0.45,,,,,0.80,0.45,0.80,1.57,0.81,2.53
0.77,0.46,,,,,0.81,0.46,0.81,1.60,0.82,2.76
0.78,0.48,,,,,0.82,0.48,0.82,1.62,0.83,2.54
0.79,0.50,,,,,,,,,,
