time,acc,time2,acc2
0.254,0.71,0.656,0.95
0.321,0.66,0.715,0.98
0.376,0.67,0.763,0.98
0.425,0.68,0.804,0.96
0.47,0.67,0.842,1.04
0.511,0.72,0.877,0.98
0.549,0.68,0.909,1.05
0.584,0.7,0.939,0.95
0.618,0.66,0.967,0.98
0.65,0.67,0.994,0.95
0.681,0.65,1.02,0.92
0.711,0.63,1.045,0.95
0.739,0.66,1.069,0.94
0.767,0.64,1.092,0.86
0.794,0.64,1.114,1.09
0.819,0.75,1.136,0.91
0.845,0.69,1.157,1.02
0.869,0.74,1.177,0.88
0.893,0.66,1.197,0.93
0.916,0.67,1.217,0.96
0.938,0.67,1.236,0.86
0.961,0.63,1.255,0.94
0.982,0.69,1.273,0.91
1.004,0.63,1.291,0.76
1.024,0.63,1.308,1.14
1.045,0.8,1.325,0.94
1.065,0.74,1.342,0.98
1.084,0.77,1.359,0.83
1.104,0.63,1.375,0.88
1.123,0.75,1.391,0.67
1.141,0.63,1.407,0.4
1.16,0.66,,
1.178,0.71,,
1.196,0.64,,
1.213,0.6,,
