Time1,Block1,Sted1,Hast1,Acc1,Time2,Block2,Sted2,Hast2,Acc2,Time3,Block3,Sted3,Hast3,Acc3,Time4,Block4,Sted4,Hast4,Acc4,Time5,Block5,Sted5,Hast5,Acc5,Time6,Block6,Sted6,Hast6,Acc6,Time7,Block7,Sted7,Hast7,Acc7,Time8,Block8,Sted8,Hast8,Acc8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48,1.00,0.02,,,1.19,1.00,0.02,,,0.06,1.00,0.02,,,0.21,1.00,0.02,,,0.29,1.00,0.02,,,0.78,1.00,0.02,,,0.10,1.00,0.02,,,0.59,1.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.54,,,0.13,,1.25,,,0.12,,0.10,,,0.19,,0.24,,,0.25,,0.32,,,0.25,,0.83,,,0.14,,0.14,,,0.19,,0.62,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.59,,,,0.52,1.31,,,,0.53,0.13,,,,2.22,0.27,,,,2.22,0.35,,,,2.77,0.88,,,,0.52,0.18,2.00,0.03,,,0.66,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.60,2.00,0.03,,,1.32,2.00,0.03,,,0.14,2.00,0.03,,,0.27,2.00,0.03,,,0.35,2.00,0.03,,,0.89,2.00,0.03,,,0.18,,,,-0.04,0.66,2.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.64,,,0.18,,1.36,,,0.17,,0.16,,,0.33,,0.29,,,0.36,,0.37,,,0.39,,0.93,,,0.19,,0.22,,,0.18,,0.69,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.68,,,,0.53,1.40,,,,0.52,0.18,,,,2.23,0.31,,,,2.20,0.39,,,,2.74,0.96,,,,0.52,0.25,,,,0.71,0.71,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.69,3.00,0.05,,,1.40,3.00,0.05,,,0.18,3.00,0.05,,,0.31,3.00,0.05,,,0.39,3.00,0.05,,,0.97,3.00,0.05,,,0.26,3.00,0.05,,,0.72,3.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72,,,0.22,,1.44,,,0.21,,0.20,,,0.42,,0.33,,,0.44,,0.41,,,0.48,,1.00,,,0.22,,0.29,,,0.23,,0.74,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,,,,0.55,1.47,,,,0.51,0.22,,,,2.27,0.35,,,,2.20,0.42,,,,2.75,1.03,,,,0.51,0.32,,,,0.66,0.76,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,4.00,0.06,,,1.47,4.00,0.06,,,0.22,4.00,0.06,,,0.35,4.00,0.06,,,0.42,4.00,0.06,,,1.04,4.00,0.06,,,0.32,4.00,0.06,,,0.76,4.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.78,,,0.25,,1.50,,,0.25,,0.24,,,0.49,,0.36,,,0.51,,0.44,,,0.56,,1.06,,,0.26,,0.35,,,0.27,,0.79,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81,,,,0.54,1.53,,,,0.52,0.25,,,,2.21,0.38,,,,2.21,0.45,,,,2.75,1.09,,,,0.52,0.38,,,,0.67,0.80,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.81,5.00,0.08,,,1.53,5.00,0.08,,,0.25,5.00,0.08,,,0.38,5.00,0.08,,,0.45,5.00,0.08,,,1.09,5.00,0.08,,,0.38,5.00,0.08,,,0.81,5.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.84,,,0.28,,1.56,,,0.28,,0.27,,,0.56,,0.39,,,0.58,,0.46,,,0.63,,1.12,,,0.29,,0.40,,,0.31,,0.82,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.86,,,,0.56,1.59,,,,0.53,0.28,,,,2.20,0.40,,,,2.23,0.47,,,,2.76,1.15,,,,0.53,0.42,,,,0.68,0.84,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.86,6.00,0.09,,,1.59,6.00,0.09,,,0.28,6.00,0.09,,,0.40,6.00,0.09,,,0.47,6.00,0.09,,,1.15,6.00,0.09,,,0.43,6.00,0.09,,,0.84,6.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.89,,,0.31,,1.61,,,0.31,,0.29,,,0.61,,0.41,,,0.63,,0.48,,,0.69,,1.17,,,0.31,,0.45,,,0.34,,0.86,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.91,,,,0.53,1.64,,,,0.53,0.30,,,,2.19,0.43,,,,2.20,0.49,,,,2.75,1.19,,,,0.52,0.47,,,,0.67,0.88,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.91,7.00,0.11,,,1.64,7.00,0.11,,,0.30,7.00,0.11,,,0.43,7.00,0.11,,,0.49,7.00,0.11,,,1.20,7.00,0.11,,,0.47,7.00,0.11,,,0.88,7.00,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.94,,,0.34,,1.66,,,0.33,,0.31,,,0.67,,0.44,,,0.68,,0.51,,,0.75,,1.22,,,0.34,,0.49,,,0.37,,0.89,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
