cm,abs
3999.01015,0.04695
3998.29592,0.0469
3997.58168,0.04689
3996.86744,0.04685
3996.15321,0.04681
3995.43897,0.04683
3994.72473,0.04691
3994.0105,0.04692
3993.29626,0.04685
3992.58202,0.04679
3991.86779,0.04684
3991.15355,0.04699
3990.43931,0.04713
3989.72508,0.04716
3989.01084,0.04709
3988.2966,0.04704
3987.58237,0.04707
3986.86813,0.04713
3986.15389,0.04714
3985.43966,0.04708
3984.72542,0.047
3984.01119,0.04693
3983.29695,0.04688
3982.58271,0.04683
3981.86848,0.04677
3981.15424,0.04672
3980.44,0.04671
3979.72577,0.04671
3979.01153,0.04672
3978.29729,0.04675
3977.58306,0.04681
3976.86882,0.04687
3976.15458,0.04691
3975.44035,0.0469
3974.72611,0.04689
3974.01187,0.04688
3973.29764,0.04685
3972.5834,0.04681
3971.86916,0.04683
3971.15493,0.04693
3970.44069,0.04707
3969.72646,0.04715
3969.01222,0.04706
3968.29798,0.04686
3967.58375,0.04667
3966.86951,0.04661
3966.15527,0.04669
3965.44104,0.04685
3964.7268,0.047
3964.01256,0.04704
3963.29833,0.04695
3962.58409,0.04681
3961.86985,0.04676
3961.15562,0.04679
3960.44138,0.04683
3959.72714,0.04682
3959.01291,0.04673
3958.29867,0.04663
3957.58443,0.04659
3956.8702,0.04665
3956.15596,0.04676
3955.44173,0.04684
3954.72749,0.04684
3954.01325,0.04676
3953.29902,0.04666
3952.58478,0.0466
3951.87054,0.04658
3951.15631,0.04654
3950.44207,0.04644
3949.72783,0.0463
3949.0136,0.04621
3948.29936,0.04621
3947.58512,0.04631
3946.87089,0.04644
3946.15665,0.04652
3945.44241,0.04652
3944.72818,0.04646
3944.01394,0.04635
3943.2997,0.04624
3942.58547,0.04621
3941.87123,0.04627
3941.157,0.04635
3940.44276,0.04635
3939.72852,0.04625
3939.01429,0.04613
3938.30005,0.04604
3937.58581,0.04596
3936.87158,0.0459
3936.15734,0.0459
3935.4431,0.046
3934.72887,0.04611
3934.01463,0.04611
3933.30039,0.04598
3932.58616,0.0459
